stock_id,error
3430,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3432,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3434,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3437,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3438,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3441,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3443,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3444,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3447,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3450,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3454,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3455,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3465,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3466,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3467,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3474,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3479,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3481,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3483,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3484,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3489,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3490,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3491,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3492,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3494,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3498,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3499,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3501,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3504,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3508,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3511,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3512,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3514,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3515,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3516,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3518,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3519,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3520,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3521,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3522,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3523,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3526,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3527,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3528,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3529,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3530,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3531,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3532,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3533,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3534,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3535,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3536,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3537,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3540,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3541,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3543,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3545,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3546,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3548,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3550,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3551,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3552,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3555,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3556,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3557,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3558,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3559,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3561,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3563,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3564,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3567,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3570,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3573,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3576,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3577,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3579,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3580,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3581,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3583,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3584,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3587,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3588,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3591,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3592,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3593,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3594,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3596,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
3597,"HTTP error 402: Payment Required. {""msg"":""Requests reach the upper limit. https://finmindtrade.com/"",""status"":402}"
