industry,n_stocks,applicability,ci_low,ci_high,p_value,bh_significant
ETF,9,0.0,0.0,0.0,1.0,0
光電業,111,0.46846846846846846,0.3783783783783784,0.5585585585585585,0.7476504699060188,0
其他,87,0.47126436781609193,0.367816091954023,0.5747126436781609,0.7046590681863627,0
其他電子業,36,0.3333333333333333,0.19444444444444445,0.5,0.9866026794641072,0
其他電子類,39,0.38461538461538464,0.23076923076923078,0.5384615384615384,0.9274145170965807,0
化學工業,11,0.2727272727272727,0.0,0.5454545454545454,0.94501099780044,0
化學生技醫療,66,0.5,0.3787878787878788,0.6212121212121212,0.5570885822835433,0
半導體業,151,0.304635761589404,0.23178807947019867,0.37748344370860926,1.0,0
塑膠工業,24,0.5833333333333334,0.375,0.7916666666666666,0.26094781043791243,0
存託憑證,5,1.0,1.0,1.0,0.0001999600079984003,1
居家生活,7,0.42857142857142855,0.14285714285714285,0.8571428571428571,0.6564687062587482,0
居家生活類,13,0.23076923076923078,0.0,0.46153846153846156,0.9850029994001199,0
建材營造,85,0.3058823529411765,0.21176470588235294,0.4,1.0,0
數位雲端,4,0.25,0.0,0.75,0.9478104379124175,0
數位雲端類,9,0.5555555555555556,0.2222222222222222,0.8888888888888888,0.3625274945010998,0
文化創意業,24,0.5833333333333334,0.375,0.7916666666666666,0.2571485702859428,0
橡膠工業,12,0.5,0.25,0.75,0.6052789442111578,0
水泥工業,7,0.5714285714285714,0.14285714285714285,0.8571428571428571,0.3473305338932214,0
汽車工業,32,0.59375,0.4375,0.75,0.19276144771045792,0
油電燃氣業,12,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.9370125974805039,0
玻璃陶瓷,5,0.4,0.0,0.8,0.6692661467706459,0
生技醫療業,76,0.5394736842105263,0.42105263157894735,0.6447368421052632,0.27834433113377327,0
紡織纖維,49,0.40816326530612246,0.2653061224489796,0.5510204081632653,0.9082183563287343,0
綠能環保,9,0.3333333333333333,0.0,0.6666666666666666,0.8574285142971406,0
綠能環保類,10,0.0,0.0,0.0,1.0,0
航運業,26,0.5,0.3076923076923077,0.6923076923076923,0.5712857428514297,0
觀光事業,1,0.0,0.0,0.0,1.0,0
觀光餐旅,39,0.6666666666666666,0.5128205128205128,0.8205128205128205,0.015796840631873626,0
貿易百貨,17,0.5882352941176471,0.35294117647058826,0.8235294117647058,0.22515496900619877,0
資訊服務業,33,0.18181818181818182,0.06060606060606061,0.3333333333333333,1.0,0
農業科技業,3,0.3333333333333333,0.0,1.0,0.7270545890821836,0
通信網路業,84,0.4166666666666667,0.30952380952380953,0.5238095238095238,0.9500099980003999,0
造紙工業,7,0.8571428571428571,0.5714285714285714,1.0,0.009198160367926415,0
運動休閒,13,0.46153846153846156,0.23076923076923078,0.7692307692307693,0.6036792641471705,0
運動休閒類,8,0.5,0.125,0.875,0.6416716656668666,0
金融保險,35,0.11428571428571428,0.02857142857142857,0.22857142857142856,1.0,0
金融業,9,0.3333333333333333,0.0,0.6666666666666666,0.8552289542091581,0
鋼鐵工業,46,0.4782608695652174,0.32608695652173914,0.6086956521739131,0.6706658668266346,0
電器電纜,16,0.3125,0.125,0.5625,0.9658068386322736,0
電子工業,13,0.6153846153846154,0.38461538461538464,0.8461538461538461,0.1941611677664467,0
電子通路業,34,0.20588235294117646,0.08823529411764706,0.35294117647058826,1.0,0
電子零組件業,189,0.3862433862433862,0.31746031746031744,0.455026455026455,0.9996000799840032,0
電機機械,82,0.43902439024390244,0.32926829268292684,0.5487804878048781,0.8898220355928814,0
電腦及週邊設備業,101,0.3465346534653465,0.25742574257425743,0.44554455445544555,0.999000199960008,0
食品工業,29,0.4827586206896552,0.3103448275862069,0.6551724137931034,0.5614877024595081,0
