industry,best_short,best_long,train_score_sharpe_median,train_outperform_ratio,tie_break_rule
ETF,40,200,0.2873157883392047,0.2222222222222222,score
光電業,5,20,0.25172775850594353,0.8468468468468469,score
其他,10,20,0.29600344132115985,0.6436781609195402,score
其他電子業,10,20,0.37435029147534726,0.5277777777777778,score
其他電子類,5,20,0.32838051599482504,0.5641025641025641,score
化學工業,5,20,0.3439181976598013,0.6363636363636364,score
化學生技醫療,10,20,0.32745920379392723,0.7424242424242424,score
半導體業,10,20,0.38292942393974644,0.7483443708609272,score
塑膠工業,10,20,0.44246072599682995,0.7916666666666666,score
存託憑證,5,20,0.4000289617722108,1.0,score
居家生活,5,20,0.3308328063518643,0.7142857142857143,score
居家生活類,20,60,0.521268955029282,0.46153846153846156,score
建材營造,10,20,0.3251694455395453,0.5529411764705883,score
數位雲端,10,120,0.43830526149016436,0.75,score
數位雲端類,30,200,0.35273088680809467,0.6666666666666666,score
文化創意業,5,20,0.3803782678455738,0.7916666666666666,score
橡膠工業,40,200,0.36823470620005316,0.4166666666666667,score
水泥工業,40,200,0.36358539364657755,0.5714285714285714,score
汽車工業,10,20,0.5270056967789221,0.78125,score
油電燃氣業,30,120,0.6038469087786262,0.0,score
玻璃陶瓷,10,20,0.2302796880894629,0.8,score
生技醫療業,10,20,0.3155521680848083,0.6842105263157895,score
紡織纖維,10,20,0.3088442109710224,0.5306122448979592,score
綠能環保,5,20,0.4628472882077415,0.5555555555555556,score
綠能環保類,20,60,0.20505835493826977,0.7,score
航運業,5,20,0.08109258444010536,0.5769230769230769,score
觀光事業,30,120,0.8900414544791494,1.0,score
觀光餐旅,10,20,0.12788262662964095,0.7692307692307693,score
貿易百貨,10,20,0.21200849790870724,0.8235294117647058,score
資訊服務業,10,20,0.3443072955730777,0.6060606060606061,score
農業科技業,40,200,0.1544785937303452,0.6666666666666666,score
通信網路業,10,20,0.311005320028936,0.7142857142857143,score
造紙工業,20,120,0.48688874154753287,0.42857142857142855,score
運動休閒,10,20,0.5453553364868554,0.5384615384615384,score
運動休閒類,10,20,0.43076914062581384,0.625,score
金融保險,30,200,0.5074811916539258,0.3142857142857143,score
金融業,10,20,0.43205208399489003,0.6666666666666666,score
鋼鐵工業,5,20,0.31835332598941657,0.5652173913043478,score
電器電纜,5,20,0.24287201380976495,0.625,score
電子工業,10,20,0.18241166780760165,0.9230769230769231,score
電子通路業,10,20,0.3267723644918584,0.5294117647058824,score
電子零組件業,10,20,0.37867757821493564,0.7195767195767195,score
電機機械,10,20,0.4011969050279261,0.6341463414634146,score
電腦及週邊設備業,10,20,0.3132185773144828,0.7524752475247525,score
食品工業,10,20,0.545725531876621,0.5517241379310345,score
