industry,fee_bps,n_stocks,applicability,ci_low,ci_high,p_value,bh_significant
ETF,0,9,0.0,0.0,0.0,1.0,0
光電業,0,111,0.4684684684684684,0.3783783783783784,0.5585585585585585,0.7476504699060188,0
其他,0,87,0.4712643678160919,0.367816091954023,0.5747126436781609,0.7046590681863627,0
其他電子業,0,36,0.3333333333333333,0.1944444444444444,0.5,0.9866026794641072,0
其他電子類,0,39,0.3846153846153846,0.2307692307692307,0.5384615384615384,0.9274145170965808,0
化學工業,0,11,0.2727272727272727,0.0,0.5454545454545454,0.94501099780044,0
化學生技醫療,0,66,0.5,0.3787878787878788,0.6212121212121212,0.5570885822835433,0
半導體業,0,151,0.304635761589404,0.2317880794701986,0.3774834437086092,1.0,0
塑膠工業,0,24,0.5833333333333334,0.375,0.7916666666666666,0.2609478104379124,0
存託憑證,0,5,1.0,1.0,1.0,0.0001999600079984,1
居家生活,0,7,0.4285714285714285,0.1428571428571428,0.8571428571428571,0.6564687062587482,0
居家生活類,0,13,0.2307692307692307,0.0,0.4615384615384615,0.98500299940012,0
建材營造,0,85,0.3058823529411765,0.2117647058823529,0.4,1.0,0
數位雲端,0,4,0.25,0.0,0.75,0.9478104379124176,0
數位雲端類,0,9,0.5555555555555556,0.2222222222222222,0.8888888888888888,0.3625274945010998,0
文化創意業,0,24,0.5833333333333334,0.375,0.7916666666666666,0.2571485702859428,0
橡膠工業,0,12,0.5,0.25,0.75,0.6052789442111578,0
水泥工業,0,7,0.5714285714285714,0.1428571428571428,0.8571428571428571,0.3473305338932214,0
汽車工業,0,32,0.59375,0.4375,0.75,0.1927614477104579,0
油電燃氣業,0,12,0.3333333333333333,0.0833333333333333,0.5833333333333334,0.937012597480504,0
玻璃陶瓷,0,5,0.4,0.0,0.8,0.6692661467706459,0
生技醫療業,0,76,0.5394736842105263,0.4210526315789473,0.6447368421052632,0.2783443311337732,0
紡織纖維,0,49,0.4081632653061224,0.2653061224489796,0.5510204081632653,0.9082183563287344,0
綠能環保,0,9,0.3333333333333333,0.0,0.6666666666666666,0.8574285142971406,0
綠能環保類,0,10,0.0,0.0,0.0,1.0,0
航運業,0,26,0.5,0.3076923076923077,0.6923076923076923,0.5712857428514297,0
觀光事業,0,1,0.0,0.0,0.0,1.0,0
觀光餐旅,0,39,0.6666666666666666,0.5128205128205128,0.8205128205128205,0.0157968406318736,0
貿易百貨,0,17,0.5882352941176471,0.3529411764705882,0.8235294117647058,0.2251549690061987,0
資訊服務業,0,33,0.1818181818181818,0.0606060606060606,0.3333333333333333,1.0,0
農業科技業,0,3,0.3333333333333333,0.0,1.0,0.7270545890821836,0
通信網路業,0,84,0.4166666666666667,0.3095238095238095,0.5238095238095238,0.9500099980004,0
造紙工業,0,7,0.8571428571428571,0.5714285714285714,1.0,0.0091981603679264,0
運動休閒,0,13,0.4615384615384615,0.2307692307692307,0.7692307692307693,0.6036792641471705,0
運動休閒類,0,8,0.5,0.125,0.875,0.6416716656668666,0
金融保險,0,35,0.1142857142857142,0.0285714285714285,0.2285714285714285,1.0,0
金融業,0,9,0.3333333333333333,0.0,0.6666666666666666,0.8552289542091581,0
鋼鐵工業,0,46,0.4782608695652174,0.3260869565217391,0.6086956521739131,0.6706658668266346,0
電器電纜,0,16,0.3125,0.125,0.5625,0.9658068386322736,0
電子工業,0,13,0.6153846153846154,0.3846153846153846,0.8461538461538461,0.1941611677664467,0
電子通路業,0,34,0.2058823529411764,0.088235294117647,0.3529411764705882,1.0,0
電子零組件業,0,189,0.3862433862433862,0.3174603174603174,0.455026455026455,0.9996000799840032,0
電機機械,0,82,0.4390243902439024,0.3292682926829268,0.5487804878048781,0.8898220355928814,0
電腦及週邊設備業,0,101,0.3465346534653465,0.2574257425742574,0.4455445544554455,0.999000199960008,0
食品工業,0,29,0.4827586206896552,0.3103448275862069,0.6551724137931034,0.5614877024595081,0
ETF,10,9,0.0,0.0,0.0,1.0,0
光電業,10,111,0.3333333333333333,0.2522522522522522,0.4234234234234234,1.0,0
其他,10,87,0.3908045977011494,0.2988505747126437,0.4942528735632184,0.9826034793041392,0
其他電子業,10,36,0.3055555555555556,0.1666666666666666,0.4722222222222222,0.99500099980004,0
其他電子類,10,39,0.358974358974359,0.2307692307692307,0.5128205128205128,0.968006398720256,0
化學工業,10,11,0.2727272727272727,0.0,0.5454545454545454,0.94501099780044,0
化學生技醫療,10,66,0.4090909090909091,0.2878787878787879,0.5303030303030303,0.9492101579684064,0
半導體業,10,151,0.23841059602649,0.1721854304635761,0.304635761589404,1.0,0
塑膠工業,10,24,0.375,0.2083333333333333,0.5833333333333334,0.9246150769846032,0
存託憑證,10,5,1.0,1.0,1.0,0.0001999600079984,1
居家生活,10,7,0.4285714285714285,0.1428571428571428,0.8571428571428571,0.6564687062587482,0
居家生活類,10,13,0.2307692307692307,0.0,0.4615384615384615,0.98500299940012,0
建材營造,10,85,0.2705882352941176,0.1764705882352941,0.3647058823529411,1.0,0
數位雲端,10,4,0.25,0.0,0.75,0.9478104379124176,0
數位雲端類,10,9,0.5555555555555556,0.2222222222222222,0.8888888888888888,0.3625274945010998,0
文化創意業,10,24,0.5416666666666666,0.3333333333333333,0.75,0.4053189362127574,0
橡膠工業,10,12,0.5,0.25,0.75,0.6052789442111578,0
水泥工業,10,7,0.0,0.0,0.0,1.0,0
汽車工業,10,32,0.5,0.3125,0.65625,0.5778844231153769,0
油電燃氣業,10,12,0.3333333333333333,0.0833333333333333,0.5833333333333334,0.937012597480504,0
玻璃陶瓷,10,5,0.2,0.0,0.6,0.9438112377524496,0
生技醫療業,10,76,0.4473684210526316,0.3421052631578947,0.5526315789473685,0.8500299940011997,0
紡織纖維,10,49,0.3673469387755102,0.2448979591836734,0.5102040816326531,0.9716056788642272,0
綠能環保,10,9,0.3333333333333333,0.0,0.6666666666666666,0.8574285142971406,0
綠能環保類,10,10,0.0,0.0,0.0,1.0,0
航運業,10,26,0.3846153846153846,0.1923076923076923,0.5769230769230769,0.9188162367526496,0
觀光事業,10,1,0.0,0.0,0.0,1.0,0
觀光餐旅,10,39,0.6153846153846154,0.4615384615384615,0.7692307692307693,0.0745850829834033,0
貿易百貨,10,17,0.5294117647058824,0.2941176470588235,0.7647058823529411,0.3959208158368326,0
資訊服務業,10,33,0.1515151515151515,0.0303030303030303,0.2727272727272727,1.0,0
農業科技業,10,3,0.3333333333333333,0.0,1.0,0.7270545890821836,0
通信網路業,10,84,0.3333333333333333,0.2261904761904762,0.4404761904761904,0.9998000399920016,0
造紙工業,10,7,0.4285714285714285,0.1428571428571428,0.8571428571428571,0.6562687462507498,0
運動休閒,10,13,0.3846153846153846,0.1538461538461538,0.6153846153846154,0.7996400719856028,0
運動休閒類,10,8,0.25,0.0,0.625,0.9734053189362128,0
金融保險,10,35,0.1142857142857142,0.0285714285714285,0.2285714285714285,1.0,0
金融業,10,9,0.3333333333333333,0.0,0.6666666666666666,0.8552289542091581,0
鋼鐵工業,10,46,0.4130434782608695,0.2826086956521739,0.5434782608695652,0.907018596280744,0
電器電纜,10,16,0.25,0.0625,0.5,0.9922015596880625,0
電子工業,10,13,0.6153846153846154,0.3846153846153846,0.8461538461538461,0.1941611677664467,0
電子通路業,10,34,0.2058823529411764,0.088235294117647,0.3529411764705882,1.0,0
電子零組件業,10,189,0.3227513227513227,0.2539682539682539,0.3915343915343915,1.0,0
電機機械,10,82,0.3902439024390244,0.2923780487804879,0.5,0.9822035592881424,0
電腦及週邊設備業,10,101,0.2277227722772277,0.1485148514851485,0.3168316831683168,1.0,0
食品工業,10,29,0.3103448275862069,0.1379310344827586,0.4827586206896552,0.9802039592081584,0
ETF,20,9,0.0,0.0,0.0,1.0,0
光電業,20,111,0.2702702702702703,0.1891891891891892,0.3603603603603603,1.0,0
其他,20,87,0.2873563218390804,0.1954022988505747,0.3793103448275862,1.0,0
其他電子業,20,36,0.0555555555555555,0.0,0.1388888888888889,1.0,0
其他電子類,20,39,0.1282051282051282,0.0256410256410256,0.2307692307692307,1.0,0
化學工業,20,11,0.0909090909090909,0.0,0.2727272727272727,1.0,0
化學生技醫療,20,66,0.3787878787878788,0.2575757575757575,0.5,0.9834033193361328,0
半導體業,20,151,0.1854304635761589,0.1258278145695364,0.2516556291390728,1.0,0
塑膠工業,20,24,0.2083333333333333,0.0416666666666666,0.375,0.9994001199760048,0
存託憑證,20,5,0.8,0.4,1.0,0.0627874425114977,0
居家生活,20,7,0.1428571428571428,0.0,0.4285714285714285,0.9908018396320736,0
居家生活類,20,13,0.2307692307692307,0.0,0.4615384615384615,0.98500299940012,0
建材營造,20,85,0.2352941176470588,0.1529411764705882,0.3294117647058823,1.0,0
數位雲端,20,4,0.25,0.0,0.75,0.9478104379124176,0
數位雲端類,20,9,0.5555555555555556,0.2222222222222222,0.8888888888888888,0.3625274945010998,0
文化創意業,20,24,0.5416666666666666,0.3333333333333333,0.75,0.4053189362127574,0
橡膠工業,20,12,0.5,0.25,0.75,0.6052789442111578,0
水泥工業,20,7,0.0,0.0,0.0,1.0,0
汽車工業,20,32,0.40625,0.25,0.5625,0.8956208758248351,0
油電燃氣業,20,12,0.3333333333333333,0.0833333333333333,0.5833333333333334,0.937012597480504,0
玻璃陶瓷,20,5,0.2,0.0,0.6,0.9438112377524496,0
生技醫療業,20,76,0.4078947368421052,0.3026315789473684,0.5131578947368421,0.961007798440312,0
紡織纖維,20,49,0.3265306122448979,0.2040816326530612,0.4489795918367347,0.9932013597280543,0
綠能環保,20,9,0.3333333333333333,0.0,0.6666666666666666,0.8574285142971406,0
綠能環保類,20,10,0.0,0.0,0.0,1.0,0
航運業,20,26,0.1153846153846153,0.0,0.2307692307692307,1.0,0
觀光事業,20,1,0.0,0.0,0.0,1.0,0
觀光餐旅,20,39,0.4871794871794871,0.3333333333333333,0.6410256410256411,0.5590881823635273,0
貿易百貨,20,17,0.4705882352941176,0.2352941176470588,0.7058823529411765,0.5866826634673066,0
資訊服務業,20,33,0.1212121212121212,0.0303030303030303,0.2424242424242424,1.0,0
農業科技業,20,3,0.3333333333333333,0.0,1.0,0.7270545890821836,0
通信網路業,20,84,0.2619047619047619,0.1666666666666666,0.3571428571428571,1.0,0
造紙工業,20,7,0.2857142857142857,0.0,0.5714285714285714,0.891621675664867,0
運動休閒,20,13,0.3846153846153846,0.1538461538461538,0.6153846153846154,0.7996400719856028,0
運動休閒類,20,8,0.25,0.0,0.625,0.9734053189362128,0
金融保險,20,35,0.1142857142857142,0.0285714285714285,0.2285714285714285,1.0,0
金融業,20,9,0.2222222222222222,0.0,0.5555555555555556,0.9688062387522496,0
鋼鐵工業,20,46,0.3695652173913043,0.2391304347826087,0.5,0.979004199160168,0
電器電纜,20,16,0.0625,0.0,0.1875,1.0,0
電子工業,20,13,0.6153846153846154,0.3846153846153846,0.8461538461538461,0.1941611677664467,0
電子通路業,20,34,0.088235294117647,0.0,0.2058823529411764,1.0,0
電子零組件業,20,189,0.2539682539682539,0.1957671957671957,0.3174603174603174,1.0,0
電機機械,20,82,0.3292682926829268,0.2317073170731707,0.4390243902439024,0.999000199960008,0
電腦及週邊設備業,20,101,0.2079207920792079,0.1287128712871287,0.2871287128712871,1.0,0
食品工業,20,29,0.2068965517241379,0.0689655172413793,0.3793103448275862,0.9998000399920016,0
