industry,best_short,best_long,train_score_sharpe_median,train_outperform_ratio,tie_break_rule
ETF,40,120,0.14923416575328283,0.3333333333333333,score
光電業,5,20,0.18052355894255367,0.8809523809523809,score
其他,10,20,0.26092011805875853,0.6923076923076923,score
其他電子業,10,20,0.24968826697236465,0.625,score
其他電子類,10,60,0.26126684779662285,0.6538461538461539,score
化學工業,30,200,0.19463532380429427,0.75,score
化學生技醫療,10,20,0.17278383766771904,0.7608695652173914,score
半導體業,10,20,0.37520864493666006,0.8110236220472441,score
塑膠工業,10,20,0.2278435231105554,0.75,score
存託憑證,10,20,-0.09241888265018758,1.0,score
居家生活,30,120,0.5384132238390595,1.0,score
居家生活類,5,20,0.4288394992447079,0.5833333333333334,score
建材營造,10,20,0.21067739561928797,0.6883116883116883,score
數位雲端,10,120,0.38755551508517444,0.75,score
數位雲端類,5,120,0.48670477687146396,0.7142857142857143,score
文化創意業,5,20,0.2989643357974169,0.7,score
橡膠工業,40,200,0.19842649238948012,0.6666666666666666,score
水泥工業,20,200,0.1133051509980608,0.42857142857142855,score
汽車工業,10,20,0.4163535330414036,0.9,score
油電燃氣業,40,120,0.42988563824246806,0.2857142857142857,score
玻璃陶瓷,10,20,0.1436466001865368,1.0,score
生技醫療業,5,20,0.26001645832014864,0.625,score
紡織纖維,10,20,0.24067421506556363,0.5135135135135135,score
綠能環保,5,20,0.340691732279655,0.5714285714285714,score
綠能環保類,30,200,0.20950591401722712,0.6666666666666666,score
航運業,5,20,0.028296377252016777,0.6153846153846154,score
觀光事業,20,120,0.8260666334160238,1.0,score
觀光餐旅,10,20,0.028187600797300174,0.7941176470588235,score
貿易百貨,10,20,0.08966666807052795,0.7647058823529411,score
資訊服務業,10,20,0.1703368147346846,0.625,score
農業科技業,40,120,-0.0069455499973331974,0.5,score
通信網路業,10,20,0.2483577561725675,0.7419354838709677,score
造紙工業,5,20,0.41266237226261065,0.7142857142857143,score
運動休閒,10,20,0.48928638036009553,0.8571428571428571,score
運動休閒類,10,20,0.29436705145012687,0.75,score
金融保險,30,200,0.08294012188011736,0.4857142857142857,score
金融業,5,20,0.3071420437617131,0.7777777777777778,score
鋼鐵工業,5,20,0.23960598137578898,0.5652173913043478,score
電器電纜,20,200,0.17455377948894646,0.6875,score
電子工業,10,20,0.1593694331850443,0.8,score
電子通路業,10,120,0.1963369516989365,0.7777777777777778,score
電子零組件業,10,20,0.2698138008873656,0.8,score
電機機械,5,20,0.33105889375910885,0.6666666666666666,score
電腦及週邊設備業,10,20,0.19864095066445073,0.813953488372093,score
食品工業,10,20,0.31996605093926667,0.5925925925925926,score
