industry,n_stocks,train_days_median,test_days_median
ETF,9,2222.0,1696.0
光電業,111,2213.0,1701.0
其他,87,2198.0,1696.0
其他電子業,36,2219.5,1701.0
其他電子類,39,2215.0,1701.0
化學工業,11,2202.0,1697.0
化學生技醫療,66,2220.0,1701.0
半導體業,152,2214.0,1701.0
塑膠工業,24,2223.0,1701.0
存託憑證,5,2223.0,1701.0
居家生活,7,2213.0,1701.0
居家生活類,13,2141.0,1667.0
建材營造,85,2216.0,1700.0
數位雲端,4,1672.0,1676.0
數位雲端類,9,1767.0,1683.0
文化創意業,24,2029.0,1691.5
橡膠工業,12,2223.0,1699.0
水泥工業,7,2222.0,1701.0
汽車工業,32,2206.5,1701.0
油電燃氣業,12,2203.0,1691.0
玻璃陶瓷,5,2223.0,1700.0
生技醫療業,76,1875.5,1700.0
紡織纖維,49,2223.0,1700.0
綠能環保,9,876.0,1701.0
綠能環保類,10,1985.0,1677.0
航運業,26,2223.0,1701.0
觀光事業,1,708.0,670.0
觀光餐旅,39,1898.0,1694.0
貿易百貨,17,2216.0,1700.0
資訊服務業,33,2211.0,1701.0
農業科技業,3,1345.0,1701.0
通信網路業,85,2213.0,1701.0
造紙工業,7,2223.0,1701.0
運動休閒,13,2156.0,1701.0
運動休閒類,8,2199.5,1693.0
金融保險,35,2223.0,1701.0
金融業,9,2222.0,1700.0
鋼鐵工業,46,2220.0,1701.0
電器電纜,16,2210.0,1701.0
電子工業,13,2196.0,693.0
電子通路業,34,2222.5,1701.0
電子零組件業,191,2221.0,1701.0
電機機械,82,2213.0,1701.0
電腦及週邊設備業,101,2222.0,1701.0
食品工業,29,2222.0,1700.0
