industry,n_stocks,applicability,ci_low,ci_high,p_value,bh_significant
ETF,9,0.1111111111111111,0.0,0.3333333333333333,0.9986002799440112,0
光電業,111,0.3783783783783784,0.2882882882882883,0.46846846846846846,0.9944011197760448,0
其他,87,0.42528735632183906,0.3218390804597701,0.5287356321839081,0.9250149970005999,0
其他電子業,36,0.3333333333333333,0.19444444444444445,0.5,0.9854029194161168,0
其他電子類,39,0.23076923076923078,0.10256410256410256,0.358974358974359,1.0,0
化學工業,11,0.2727272727272727,0.0,0.5454545454545454,0.94501099780044,0
化學生技醫療,66,0.4696969696969697,0.3484848484848485,0.5909090909090909,0.7416516696660668,0
半導體業,152,0.3092105263157895,0.23684210526315788,0.3815789473684211,1.0,0
塑膠工業,24,0.5416666666666666,0.3333333333333333,0.75,0.4117176564687063,0
存託憑證,5,0.8,0.4,1.0,0.05378924215156969,0
居家生活,7,0.5714285714285714,0.14285714285714285,0.8571428571428571,0.35752849430113975,0
居家生活類,13,0.46153846153846156,0.23076923076923078,0.7692307692307693,0.6096780643871226,0
建材營造,85,0.3764705882352941,0.27058823529411763,0.4823529411764706,0.9916016796640672,0
數位雲端,4,0.25,0.0,0.75,0.9482103579284143,0
數位雲端類,9,0.6666666666666666,0.3333333333333333,1.0,0.14217156568686262,0
文化創意業,24,0.5416666666666666,0.3333333333333333,0.75,0.41671665666866625,0
橡膠工業,12,0.5833333333333334,0.3333333333333333,0.8333333333333334,0.3735252949410118,0
水泥工業,7,0.0,0.0,0.0,1.0,0
汽車工業,32,0.53125,0.34375,0.71875,0.4297140571885623,0
油電燃氣業,12,0.5833333333333334,0.3333333333333333,0.8333333333333334,0.3837232553489302,0
玻璃陶瓷,5,0.4,0.0,0.8,0.6766646670665867,0
生技醫療業,76,0.5526315789473685,0.44703947368421065,0.6578947368421053,0.20095980803839233,0
紡織纖維,49,0.3673469387755102,0.24489795918367346,0.5102040816326531,0.9716056788642271,0
綠能環保,9,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.850629874025195,0
綠能環保類,10,0.2,0.0,0.5,0.9934013197360528,0
航運業,26,0.46153846153846156,0.2692307692307692,0.6538461538461539,0.7078584283143371,0
觀光事業,1,1.0,1.0,1.0,0.0001999600079984003,1
觀光餐旅,39,0.6410256410256411,0.48717948717948717,0.7948717948717948,0.03259348130373925,0
貿易百貨,17,0.5882352941176471,0.35294117647058826,0.8235294117647058,0.22695460907818435,0
資訊服務業,33,0.18181818181818182,0.06060606060606061,0.3333333333333333,1.0,0
農業科技業,3,0.6666666666666666,0.0,1.0,0.262747450509898,0
通信網路業,85,0.36470588235294116,0.27058823529411763,0.47058823529411764,0.9956008798240352,0
造紙工業,7,0.7142857142857143,0.42857142857142855,1.0,0.10617876424715057,0
運動休閒,13,0.46153846153846156,0.23076923076923078,0.7692307692307693,0.6136772645470906,0
運動休閒類,8,0.375,0.0,0.75,0.8640271945610878,0
金融保險,35,0.14285714285714285,0.02857142857142857,0.2571428571428571,1.0,0
金融業,9,0.3333333333333333,0.0,0.6666666666666666,0.8512297540491902,0
鋼鐵工業,46,0.5,0.34782608695652173,0.6304347826086957,0.5620875824835033,0
電器電纜,16,0.25,0.0625,0.5,0.9904019196160768,0
電子工業,13,0.46153846153846156,0.23076923076923078,0.6923076923076923,0.6130773845230953,0
電子通路業,34,0.17647058823529413,0.058823529411764705,0.3235294117647059,1.0,0
電子零組件業,191,0.34554973821989526,0.2774869109947644,0.41361256544502617,1.0,0
電機機械,82,0.5487804878048781,0.43902439024390244,0.6585365853658537,0.21475704859028194,0
電腦及週邊設備業,101,0.32673267326732675,0.2376237623762376,0.4158415841584158,0.9998000399920016,0
食品工業,29,0.4482758620689655,0.27586206896551724,0.6206896551724138,0.7036592681463707,0
