stock_id,industry,is_listed,is_otc,train_trading_days,test_trading_days,included,industry_snapshot_date,industry_reference_date,stock_name
0050,ETF,1,0,2223,1696,1,2026-03-05,2026-03-05,元大台灣50
0051,ETF,1,0,2222,1699,1,2026-03-05,2026-03-05,元大中型100
0052,ETF,1,0,2115,1696,1,2026-03-05,2026-03-05,富邦科技
0053,ETF,1,0,2218,1696,1,2026-03-05,2026-03-05,元大電子
0054,ETF,1,0,2161,782,1,2026-02-25,2026-03-05,元大台商50
0055,ETF,1,0,2223,1701,1,2026-03-05,2026-03-05,元大MSCI金融
0056,ETF,1,0,2223,1701,1,2026-03-05,2026-03-05,元大高股息
0057,ETF,1,0,2124,1692,1,2026-03-05,2026-03-05,富邦摩台
0058,ETF,1,0,1822,229,0,2026-02-25,2026-03-05,富邦發達
0059,ETF,1,0,1992,217,0,2026-02-25,2026-03-05,富邦金融
0060,ETF,1,0,1340,0,0,2024-12-04,2026-03-05,新台灣
0061,ETF,1,0,2223,1701,1,2026-03-05,2026-03-05,元大寶滬深
0080,ETF,1,0,1170,0,0,2024-12-04,2026-03-05,恒中國
0081,ETF,1,0,652,0,0,2024-12-04,2026-03-05,恒香港
1101,水泥工業,1,0,2221,1700,1,2026-03-05,2026-03-05,台泥
1102,水泥工業,1,0,2223,1700,1,2026-03-05,2026-03-05,亞泥
1103,水泥工業,1,0,2222,1701,1,2026-03-05,2026-03-05,嘉泥
1104,水泥工業,1,0,2223,1701,1,2026-03-05,2026-03-05,環泥
1107,其他,1,0,602,0,0,2024-12-04,2026-03-05,建台
1108,水泥工業,1,0,2223,1701,1,2026-03-05,2026-03-05,幸福
1109,水泥工業,1,0,2199,1701,1,2026-03-05,2026-03-05,信大
1110,水泥工業,1,0,2215,1701,1,2026-03-05,2026-03-05,東泥
1201,食品工業,1,0,2223,1701,1,2026-03-05,2026-03-05,味全
1203,食品工業,1,0,2222,1686,1,2026-03-05,2026-03-05,味王
1210,食品工業,1,0,2223,1701,1,2026-03-05,2026-03-05,大成
1213,食品工業,1,0,2222,1463,1,2026-03-05,2026-03-05,大飲
1215,食品工業,1,0,2223,1701,1,2026-03-05,2026-03-05,卜蜂
1216,食品工業,1,0,2222,1701,1,2026-03-05,2026-03-05,統一
1217,食品工業,1,0,2223,1701,1,2026-03-05,2026-03-05,愛之味
1218,食品工業,1,0,2223,1701,1,2026-03-05,2026-03-05,泰山
1219,食品工業,1,0,2217,1699,1,2026-03-05,2026-03-05,福壽
1220,食品工業,1,0,2223,1701,1,2026-03-05,2026-03-05,台榮
1225,食品工業,1,0,2175,1612,1,2026-03-05,2026-03-05,福懋油
1227,食品工業,1,0,2223,1701,1,2026-03-05,2026-03-05,佳格
1229,食品工業,1,0,2223,1700,1,2026-03-05,2026-03-05,聯華
1230,電器電纜,1,0,0,0,0,2024-12-03,2026-03-05,聯成食
1231,食品工業,1,0,2223,1701,1,2026-03-05,2026-03-05,聯華食
1232,食品工業,1,0,2223,1701,1,2026-03-05,2026-03-05,大統益
1233,食品工業,1,0,2222,1699,1,2026-03-05,2026-03-05,天仁
1234,食品工業,1,0,2215,1701,1,2026-03-05,2026-03-05,黑松
1235,食品工業,1,0,2209,1638,1,2026-03-05,2026-03-05,興泰
1236,食品工業,1,0,2222,1689,1,2026-03-05,2026-03-05,宏亞
