"industry","n_adj","applicability_adj","ci_low_adj","ci_high_adj","p_value_adj","bh_significant_adj","n_raw","applicability_raw","ci_low_raw","ci_high_raw","p_value_raw","bh_significant_raw","delta_applicability"
"化學工業","11","0.2727272727272727","0.0","0.5454545454545454","0.94501099780044","0","11","0.2727272727272727","0.0","0.5454545454545454","0.94501099780044","0","0"
"化學生技醫療","66","0.4090909090909091","0.2878787878787879","0.5303030303030303","0.9492101579684064","0","66","0.4696969696969697","0.3484848484848485","0.5909090909090909","0.7416516696660668","0","0.06060606060606061"
"文化創意業","24","0.5416666666666666","0.3333333333333333","0.75","0.40531893621275744","0","24","0.5416666666666666","0.3333333333333333","0.75","0.41671665666866625","0","0"
"水泥工業","7","0.0","0.0","0.0","1.0","0","7","0.0","0.0","0.0","1.0","0","0"
"半導體業","151","0.23841059602649006","0.17218543046357615","0.304635761589404","1.0","0","152","0.3092105263157895","0.23684210526315788","0.3815789473684211","1.0","0","0.07079993028929943"
"生技醫療業","76","0.4473684210526316","0.34210526315789475","0.5526315789473685","0.8500299940011997","0","76","0.5526315789473685","0.44703947368421065","0.6578947368421053","0.20095980803839233","0","0.10526315789473689"
"光電業","111","0.3333333333333333","0.25225225225225223","0.42342342342342343","1.0","0","111","0.3783783783783784","0.2882882882882883","0.46846846846846846","0.9944011197760448","0","0.045045045045045085"
"存託憑證","5","1.0","1.0","1.0","0.0001999600079984003","1","5","0.8","0.4","1.0","0.05378924215156969","0","-0.19999999999999996"
"汽車工業","32","0.5","0.3125","0.65625","0.5778844231153769","0","32","0.53125","0.34375","0.71875","0.4297140571885623","0","0.03125"
"其他","87","0.39080459770114945","0.2988505747126437","0.4942528735632184","0.9826034793041392","0","87","0.42528735632183906","0.3218390804597701","0.5287356321839081","0.9250149970005999","0","0.03448275862068961"
"其他電子業","36","0.3055555555555556","0.16666666666666666","0.4722222222222222","0.99500099980004","0","36","0.3333333333333333","0.19444444444444445","0.5","0.9854029194161168","0","0.027777777777777735"
"其他電子類","39","0.358974358974359","0.23076923076923078","0.5128205128205128","0.968006398720256","0","39","0.23076923076923078","0.10256410256410256","0.358974358974359","1.0","0","-0.1282051282051282"
"居家生活","7","0.42857142857142855","0.14285714285714285","0.8571428571428571","0.6564687062587482","0","7","0.5714285714285714","0.14285714285714285","0.8571428571428571","0.35752849430113975","0","0.14285714285714285"
"居家生活類","13","0.23076923076923078","0.0","0.46153846153846156","0.9850029994001199","0","13","0.46153846153846156","0.23076923076923078","0.7692307692307693","0.6096780643871226","0","0.23076923076923078"
"油電燃氣業","12","0.3333333333333333","0.08333333333333333","0.5833333333333334","0.9370125974805039","0","12","0.5833333333333334","0.3333333333333333","0.8333333333333334","0.3837232553489302","0","0.25000000000000006"
"金融保險","35","0.11428571428571428","0.02857142857142857","0.22857142857142856","1.0","0","35","0.14285714285714285","0.02857142857142857","0.2571428571428571","1.0","0","0.028571428571428567"
"金融業","9","0.3333333333333333","0.0","0.6666666666666666","0.8552289542091581","0","9","0.3333333333333333","0.0","0.6666666666666666","0.8512297540491902","0","0"
"建材營造","85","0.27058823529411763","0.17647058823529413","0.36470588235294116","1.0","0","85","0.3764705882352941","0.27058823529411763","0.4823529411764706","0.9916016796640672","0","0.10588235294117648"
"玻璃陶瓷","5","0.2","0.0","0.6","0.9438112377524495","0","5","0.4","0.0","0.8","0.6766646670665867","0","0.2"
"食品工業","29","0.3103448275862069","0.13793103448275862","0.4827586206896552","0.9802039592081584","0","29","0.4482758620689655","0.27586206896551724","0.6206896551724138","0.7036592681463707","0","0.13793103448275862"
"紡織纖維","49","0.3673469387755102","0.24489795918367346","0.5102040816326531","0.9716056788642271","0","49","0.3673469387755102","0.24489795918367346","0.5102040816326531","0.9716056788642271","0","0"
"航運業","26","0.38461538461538464","0.19230769230769232","0.5769230769230769","0.9188162367526495","0","26","0.46153846153846156","0.2692307692307692","0.6538461538461539","0.7078584283143371","0","0.07692307692307693"
"通信網路業","84","0.3333333333333333","0.2261904761904762","0.44047619047619047","0.9998000399920016","0","85","0.36470588235294116","0.27058823529411763","0.47058823529411764","0.9956008798240352","0","0.03137254901960784"
