industry,n_stocks,applicability,ci_low,ci_high,p_value,bh_significant
ETF,9,0.0,0.0,0.0,1.0,0
光電業,111,0.3333333333333333,0.25225225225225223,0.42342342342342343,1.0,0
其他,87,0.39080459770114945,0.2988505747126437,0.4942528735632184,0.9826034793041392,0
其他電子業,36,0.3055555555555556,0.16666666666666666,0.4722222222222222,0.99500099980004,0
其他電子類,39,0.358974358974359,0.23076923076923078,0.5128205128205128,0.968006398720256,0
化學工業,11,0.2727272727272727,0.0,0.5454545454545454,0.94501099780044,0
化學生技醫療,66,0.4090909090909091,0.2878787878787879,0.5303030303030303,0.9492101579684064,0
半導體業,151,0.23841059602649006,0.17218543046357615,0.304635761589404,1.0,0
塑膠工業,24,0.375,0.20833333333333334,0.5833333333333334,0.9246150769846031,0
存託憑證,5,1.0,1.0,1.0,0.0001999600079984003,1
居家生活,7,0.42857142857142855,0.14285714285714285,0.8571428571428571,0.6564687062587482,0
居家生活類,13,0.23076923076923078,0.0,0.46153846153846156,0.9850029994001199,0
建材營造,85,0.27058823529411763,0.17647058823529413,0.36470588235294116,1.0,0
數位雲端,4,0.25,0.0,0.75,0.9478104379124175,0
數位雲端類,9,0.5555555555555556,0.2222222222222222,0.8888888888888888,0.3625274945010998,0
文化創意業,24,0.5416666666666666,0.3333333333333333,0.75,0.40531893621275744,0
橡膠工業,12,0.5,0.25,0.75,0.6052789442111578,0
水泥工業,7,0.0,0.0,0.0,1.0,0
汽車工業,32,0.5,0.3125,0.65625,0.5778844231153769,0
油電燃氣業,12,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.9370125974805039,0
玻璃陶瓷,5,0.2,0.0,0.6,0.9438112377524495,0
生技醫療業,76,0.4473684210526316,0.34210526315789475,0.5526315789473685,0.8500299940011997,0
紡織纖維,49,0.3673469387755102,0.24489795918367346,0.5102040816326531,0.9716056788642271,0
綠能環保,9,0.3333333333333333,0.0,0.6666666666666666,0.8574285142971406,0
綠能環保類,10,0.0,0.0,0.0,1.0,0
航運業,26,0.38461538461538464,0.19230769230769232,0.5769230769230769,0.9188162367526495,0
觀光事業,1,0.0,0.0,0.0,1.0,0
觀光餐旅,39,0.6153846153846154,0.46153846153846156,0.7692307692307693,0.07458508298340331,0
貿易百貨,17,0.5294117647058824,0.29411764705882354,0.7647058823529411,0.39592081583683264,0
資訊服務業,33,0.15151515151515152,0.030303030303030304,0.2727272727272727,1.0,0
農業科技業,3,0.3333333333333333,0.0,1.0,0.7270545890821836,0
通信網路業,84,0.3333333333333333,0.2261904761904762,0.44047619047619047,0.9998000399920016,0
造紙工業,7,0.42857142857142855,0.14285714285714285,0.8571428571428571,0.6562687462507498,0
運動休閒,13,0.38461538461538464,0.15384615384615385,0.6153846153846154,0.7996400719856028,0
運動休閒類,8,0.25,0.0,0.625,0.9734053189362127,0
金融保險,35,0.11428571428571428,0.02857142857142857,0.22857142857142856,1.0,0
金融業,9,0.3333333333333333,0.0,0.6666666666666666,0.8552289542091581,0
鋼鐵工業,46,0.41304347826086957,0.2826086956521739,0.5434782608695652,0.9070185962807439,0
電器電纜,16,0.25,0.0625,0.5,0.9922015596880623,0
電子工業,13,0.6153846153846154,0.38461538461538464,0.8461538461538461,0.1941611677664467,0
電子通路業,34,0.20588235294117646,0.08823529411764706,0.35294117647058826,1.0,0
電子零組件業,189,0.32275132275132273,0.25396825396825395,0.3915343915343915,1.0,0
電機機械,82,0.3902439024390244,0.2923780487804879,0.5,0.9822035592881424,0
電腦及週邊設備業,101,0.22772277227722773,0.1485148514851485,0.31683168316831684,1.0,0
食品工業,29,0.3103448275862069,0.13793103448275862,0.4827586206896552,0.9802039592081584,0
